Count,Name,Foil,Edition,Condition,Language
4,Eidolon of Blossoms,,Journey into Nyx,Near Mint,English
2,Eidolon of Countless Battles,foil,Born of the Gods,Near Mint,English
2,Eidolon of the Great Revel,,Journey into Nyx,Near Mint,English
1,"Ephara, God of the Polis",,Born of the Gods,Near Mint,English
1,"Erebos, God of the Dead",,Theros,Near Mint,English
1,"Heliod, God of the Sun",,Theros,Near Mint,English
1,"Iroas, God of Victory",,Journey into Nyx,Near Mint,Italian
1,"Kruphix, God of Horizons",,Journey into Nyx,Near Mint,English
2,Path to Exile,,Modern Masters,Heavily Played,English
1,Scavenging Ooze,,Magic 2014 Core Set,Played,English
2,Sol Ring,,Revised Edition,Good (Lightly Played),English
1,"Thassa, God of the Sea",,Theros,Near Mint,Japanese
